r,G_r
10.85,0.000237
10.86,0.001343
10.87,0.001858
10.88,0.001683
10.89,0.000735
10.9,-0.001053
10.91,-0.003724
10.92,-0.007307
10.93,-0.011803
10.94,-0.017195
10.95,-0.023446
10.96,-0.030496
10.97,-0.038266
10.98,-0.046663
10.99,-0.055574
11,-0.064878
11.01,-0.074442
11.02,-0.084128
11.03,-0.093794
11.04,-0.103298
11.05,-0.112502
11.06,-0.121275
11.07,-0.129494
11.08,-0.137052
11.09,-0.143853
11.1,-0.149822
11.11,-0.1549
11.12,-0.159051
11.13,-0.162257
11.14,-0.164524
11.15,-0.165878
11.16,-0.166364
11.17,-0.166048
11.18,-0.165012
11.19,-0.163353
11.2,-0.161182
11.21,-0.158618
11.22,-0.155789
11.23,-0.152825
11.24,-0.149857
11.25,-0.147014
11.26,-0.144418
11.27,-0.142184
11.28,-0.140413
11.29,-0.139194
11.3,-0.138598
11.31,-0.138679
11.32,-0.139472
11.33,-0.140991
11.34,-0.14323
11.35,-0.146163
11.36,-0.149744
11.37,-0.153909
11.38,-0.158577
11.39,-0.163653
11.4,-0.169026
11.41,-0.17458
11.42,-0.180188
11.43,-0.185721
11.44,-0.191049
11.45,-0.196043
11.46,-0.200581
11.47,-0.204548
11.48,-0.207842
11.49,-0.210372
11.5,-0.212066
11.51,-0.212866
11.52,-0.212737
11.53,-0.211662
11.54,-0.209643
11.55,-0.206706
11.56,-0.202893
11.57,-0.198269
11.58,-0.192913
11.59,-0.186923
11.6,-0.180408
11.61,-0.17349
11.62,-0.166297
11.63,-0.158965
11.64,-0.15163
11.65,-0.144428
11.66,-0.13749
11.67,-0.13094
11.68,-0.124892
11.69,-0.119447
11.7,-0.114689
11.71,-0.110688
11.72,-0.107492
11.73,-0.105128
11.74,-0.103605
11.75,-0.102907
11.76,-0.102999
11.77,-0.103824
11.78,-0.105307
11.79,-0.107353
11.8,-0.109853
11.81,-0.112682
11.82,-0.115707
11.83,-0.118786
11.84,-0.121772
11.85,-0.124515
11.86,-0.126871
11.87,-0.128697
11.88,-0.12986
11.89,-0.13024
11.9,-0.12973
11.91,-0.128238
11.92,-0.125695
11.93,-0.12205
11.94,-0.117274
11.95,-0.111363
11.96,-0.104335
11.97,-0.096231
