,r,T
921,9.21,2.153018
922,9.22,2.153588
923,9.23,2.154223
924,9.24,2.154982
925,9.25,2.1559
926,9.26,2.156989
927,9.27,2.158244
928,9.28,2.159652
929,9.29,2.161195
930,9.3,2.162863
931,9.31,2.16465
932,9.32,2.166563
933,9.33,2.168615
934,9.34,2.170822
935,9.35,2.173194
936,9.36,2.175726
937,9.37,2.178392
938,9.38,2.181136
939,9.39,2.183876
940,9.4,2.186505
941,9.41,2.188909
942,9.42,2.190982
943,9.43,2.192652
944,9.44,2.193907
945,9.45,2.194807
946,9.46,2.195505
947,9.47,2.196231
948,9.48,2.197281
949,9.49,2.19898
950,9.5,2.20163
951,9.51,2.205464
952,9.52,2.210588
953,9.53,2.21695
954,9.54,2.224323
955,9.55,2.232307
956,9.56,2.24038
957,9.57,2.247952
958,9.58,2.254455
959,9.59,2.259423
960,9.6,2.262573
961,9.61,2.26386
962,9.62,2.263494
963,9.63,2.261926
964,9.64,2.259782
965,9.65,2.25778
966,9.66,2.256616
967,9.67,2.256857
968,9.68,2.25885
969,9.69,2.26266
970,9.7,2.268057
971,9.71,2.274549
972,9.72,2.281459
973,9.73,2.288029
974,9.74,2.293542
975,9.75,2.297437
976,9.76,2.299392
977,9.77,2.299378
978,9.78,2.297654
979,9.79,2.294727
980,9.8,2.291257
981,9.81,2.287959
982,9.82,2.285484
983,9.83,2.284323
984,9.84,2.284739
985,9.85,2.286736
986,9.86,2.290082
987,9.87,2.294357
988,9.88,2.299035
989,9.89,2.303576
990,9.9,2.307518
991,9.91,2.310538
992,9.92,2.312496
993,9.93,2.313438
994,9.94,2.313568
995,9.95,2.313195
996,9.96,2.312666
997,9.97,2.312304
998,9.98,2.312347
999,9.99,2.312917
1000,10.0,2.314008
