,r,T
154,2.363,-2.3298582498517084
155,2.394,-2.3808499269438843
156,2.409,-2.2959316510045347
157,2.447,-2.2751791321542045
158,2.464,-2.4183291551670627
159,2.5,-2.442082259941675
160,2.509,-2.6147954347968962
161,2.511,-2.7704339873571553
162,2.537,-2.737674895198796
163,2.542,-2.6708761748506307
164,2.563,-2.9639531667475416
165,2.573,-3.164238287707328
166,2.598,-3.0556661114809995
167,2.602,-3.1314462825940486
168,2.605,-3.3024244271766126
169,2.627,-3.481804382994291
170,2.633,-3.3046073208307383
171,2.643,-3.6487546581447834
172,2.655,-3.486682794268221
173,2.666,-3.827389288262694
174,2.672,-3.6402620382606226
175,2.692,-4.015983615982791
176,2.694,-3.818659225092165
177,2.718,-4.208825106880599
178,2.721,-4.020773315129505
179,2.745,-4.2034574015408905
180,2.748,-4.39294701721703
181,2.776,-4.398118600252956
182,2.788,-4.588065915898452
183,2.837,-4.706049510263275
184,2.845,-4.829942614591988
185,2.902,-4.898766794431715
186,2.905,-4.999436043857172
187,2.964,-5.027632921676491
188,2.967,-5.128558873135363
189,3.024,-5.13235564979196
190,3.027,-5.23559155387914
191,3.086,-5.351557489763863
192,3.086,-5.2499956339800535
193,3.147,-5.353770661093723
194,3.147,-5.457340058420893
195,3.206,-5.55301105353384
196,3.209,-5.452988556714883
197,3.264,-5.641933320496739
198,3.269,-5.546577656893974
199,3.324,-5.676767274489558
200,3.363,-5.7724761776425755
201,3.396,-5.646985450544658
202,3.431,-5.774607072679676
203,3.45,-5.618190942112888
204,3.49,-5.681202393287175
205,3.502,-5.474073106115554
206,3.536,-5.534546546967081
207,3.542,-5.305618795955234
208,3.574,-5.377076548508129
209,3.576,-5.128581910497336
210,3.607,-5.203817302850586
211,3.61,-4.959970848762957
212,3.639,-5.044171553538629
213,3.645,-4.807105945827926
214,3.673,-4.886744009646742
215,3.684,-4.683367264958915
216,3.716,-4.75036415537637
217,3.736,-4.620918510492627
218,3.796,-4.658665074502969
219,3.798,-4.782137065606079
220,3.856,-4.757638744833422
221,3.86,-4.883680369609505
222,3.896,-4.9528769989902095
223,3.92,-4.840569542455762
224,3.962,-4.95057772399634
225,3.981,-4.79909570880095
226,4.022,-4.885162108353447
