,r,T
584,5.84,1.74784
585,5.85,1.74878
586,5.86,1.75055
587,5.87,1.75316
588,5.88,1.75661
589,5.89,1.76087
590,5.9,1.76589
591,5.91,1.77161
592,5.92,1.77793
593,5.93,1.78475
594,5.94,1.79195
595,5.95,1.79942
596,5.96,1.80703
597,5.97,1.81466
598,5.98,1.82219
599,5.99,1.8295
600,6.0,1.8365
601,6.01,1.84309
602,6.02,1.84921
603,6.03,1.85478
604,6.04,1.85979
605,6.05,1.86422
606,6.06,1.86807
607,6.07,1.87138
608,6.08,1.87421
609,6.09,1.87661
610,6.1,1.87867
611,6.11,1.88048
612,6.12,1.88214
613,6.13,1.88373
614,6.14,1.88534
615,6.15,1.88705
616,6.16,1.88893
617,6.17,1.89101
618,6.18,1.89333
619,6.19,1.8959
620,6.2,1.89871
621,6.21,1.90174
622,6.22,1.90494
623,6.23,1.90826
624,6.24,1.91165
625,6.25,1.91505
626,6.26,1.9184
627,6.27,1.92165
628,6.28,1.92477
629,6.29,1.92771
630,6.3,1.93047
631,6.31,1.93304
632,6.32,1.93544
633,6.33,1.93767
634,6.34,1.93976
635,6.35,1.94175
636,6.36,1.94364
637,6.37,1.94547
638,6.38,1.94726
639,6.39,1.94901
640,6.4,1.95076
641,6.41,1.95251
642,6.42,1.9543
643,6.43,1.95614
644,6.44,1.95807
645,6.45,1.96014
646,6.46,1.9624
647,6.47,1.96489
648,6.48,1.96767
649,6.49,1.97079
650,6.5,1.97427
651,6.51,1.97813
652,6.52,1.98237
653,6.53,1.98696
654,6.54,1.99186
655,6.55,1.997
656,6.56,2.0023
657,6.57,2.00766
658,6.58,2.01299
659,6.59,2.01817
660,6.6,2.02309
661,6.61,2.02767
662,6.62,2.03179
663,6.63,2.03539
664,6.64,2.03838
665,6.65,2.04072
666,6.66,2.04239
667,6.67,2.04338
668,6.68,2.04373
669,6.69,2.04349
670,6.7,2.04274
671,6.71,2.04161
672,6.72,2.04022
673,6.73,2.03872
674,6.74,2.03726
675,6.75,2.03597
676,6.76,2.03499
677,6.77,2.03443
678,6.78,2.03435
679,6.79,2.03481
680,6.8,2.03582
681,6.81,2.03737
682,6.82,2.03942
683,6.83,2.04193
684,6.84,2.04484
685,6.85,2.04806
686,6.86,2.05153
687,6.87,2.05519
688,6.88,2.05897
689,6.89,2.0628
690,6.9,2.06663
691,6.91,2.07041
692,6.92,2.07406
693,6.93,2.07756
694,6.94,2.08084
695,6.95,2.08387
696,6.96,2.08661
697,6.97,2.08904
698,6.98,2.09115
699,6.99,2.09296
700,7.0,2.09448
701,7.01,2.09574
702,7.02,2.0968
703,7.03,2.09771
704,7.04,2.09852
705,7.05,2.0993
706,7.06,2.1001
707,7.07,2.10099
708,7.08,2.102
709,7.09,2.10319
710,7.1,2.10459
711,7.11,2.10623
712,7.12,2.10815
713,7.13,2.11038
714,7.14,2.11292
715,7.15,2.1158
716,7.16,2.11902
717,7.17,2.12258
718,7.18,2.12647
719,7.19,2.13066
720,7.2,2.13513
721,7.21,2.13983
722,7.22,2.14472
723,7.23,2.14974
724,7.24,2.15485
725,7.25,2.16
726,7.26,2.16514
727,7.27,2.17026
728,7.28,2.17532
729,7.29,2.18033
730,7.3,2.18529
731,7.31,2.1902
732,7.32,2.1951
733,7.33,2.2
734,7.34,2.20495
735,7.35,2.20996
736,7.36,2.21505
737,7.37,2.22025
738,7.38,2.22557
739,7.39,2.23101
740,7.4,2.23657
741,7.41,2.24225
742,7.42,2.24804
743,7.43,2.25395
744,7.44,2.25997
745,7.45,2.26611
746,7.46,2.27236
747,7.47,2.27874
748,7.48,2.28525
749,7.49,2.29191
750,7.5,2.29872
751,7.51,2.30569
752,7.52,2.31282
753,7.53,2.3201
754,7.54,2.32751
755,7.55,2.33504
756,7.56,2.34265
757,7.57,2.3503
758,7.58,2.35794
759,7.59,2.36554
760,7.6,2.37304
761,7.61,2.38038
762,7.62,2.38752
763,7.63,2.3944
764,7.64,2.40098
765,7.65,2.40723
766,7.66,2.41309
767,7.67,2.41856
768,7.68,2.4236
769,7.69,2.42821
770,7.7,2.43238
771,7.71,2.43613
772,7.72,2.43947
773,7.73,2.44243
774,7.74,2.44503
775,7.75,2.44733
776,7.76,2.44935
777,7.77,2.45116
778,7.78,2.45278
779,7.79,2.45428
780,7.8,2.4557
781,7.81,2.45708
782,7.82,2.45845
783,7.83,2.45986
784,7.84,2.46131
785,7.85,2.46283
786,7.86,2.46443
787,7.87,2.4661
788,7.88,2.46783
789,7.89,2.46962
790,7.9,2.47144
791,7.91,2.47327
792,7.92,2.4751
793,7.93,2.4769
794,7.94,2.47867
795,7.95,2.48039
796,7.96,2.48207
797,7.97,2.48372
798,7.98,2.48534
799,7.99,2.48694
800,8.0,2.48853
801,8.01,2.49013
802,8.02,2.49173
803,8.03,2.49334
804,8.04,2.49496
805,8.05,2.49658
806,8.06,2.49819
807,8.07,2.4998
808,8.08,2.50139
809,8.09,2.50298
810,8.1,2.50458
811,8.11,2.5062
812,8.12,2.50786
813,8.13,2.50959
814,8.14,2.51139
815,8.15,2.51331
816,8.16,2.51534
817,8.17,2.51749
818,8.18,2.51976
819,8.19,2.52214
820,8.2,2.5246
821,8.21,2.52713
822,8.22,2.5297
823,8.23,2.53229
824,8.24,2.53487
825,8.25,2.53741
826,8.26,2.53992
827,8.27,2.54239
828,8.28,2.5448
829,8.29,2.54719
830,8.3,2.54954
831,8.31,2.55189
832,8.32,2.55425
833,8.33,2.55664
834,8.34,2.55909
835,8.35,2.56162
836,8.36,2.56425
837,8.37,2.567
838,8.38,2.5699
839,8.39,2.57295
840,8.4,2.57619
841,8.41,2.57963
842,8.42,2.58327
843,8.43,2.58712
844,8.44,2.59119
845,8.45,2.59547
846,8.46,2.59996
847,8.47,2.60464
848,8.48,2.6095
849,8.49,2.6145
850,8.5,2.61963
851,8.51,2.62484
852,8.52,2.63011
853,8.53,2.63539
854,8.54,2.64066
855,8.55,2.64588
856,8.56,2.65103
857,8.57,2.65607
858,8.58,2.661
859,8.59,2.6658
860,8.6,2.67049
861,8.61,2.67507
862,8.62,2.67955
863,8.63,2.68396
864,8.64,2.68833
865,8.65,2.69267
866,8.66,2.69701
867,8.67,2.70138
868,8.68,2.70579
869,8.69,2.71025
870,8.7,2.71476
871,8.71,2.71934
872,8.72,2.72398
873,8.73,2.72868
874,8.74,2.73341
875,8.75,2.73819
876,8.76,2.74299
877,8.77,2.74781
878,8.78,2.75264
879,8.79,2.75747
880,8.8,2.7623
881,8.81,2.76712
882,8.82,2.77194
883,8.83,2.77675
884,8.84,2.78155
885,8.85,2.78634
886,8.86,2.79112
887,8.87,2.79587
888,8.88,2.80058
889,8.89,2.80525
890,8.9,2.80984
891,8.91,2.81435
892,8.92,2.81875
893,8.93,2.82301
894,8.94,2.82711
895,8.95,2.83104
896,8.96,2.83477
897,8.97,2.83831
898,8.98,2.84165
899,8.99,2.84478
900,9.0,2.84771
901,9.01,2.85045
902,9.02,2.853
903,9.03,2.85537
904,9.04,2.85758
905,9.05,2.85962
906,9.06,2.8615
907,9.07,2.86324
908,9.08,2.86485
909,9.09,2.86632
910,9.1,2.86769
911,9.11,2.86898
912,9.12,2.8702
913,9.13,2.87139
914,9.14,2.87259
915,9.15,2.87382
916,9.16,2.87513
917,9.17,2.87655
918,9.18,2.8781
919,9.19,2.87983
920,9.2,2.88174
921,9.21,2.88385
922,9.22,2.88619
923,9.23,2.88873
924,9.24,2.8915
925,9.25,2.89448
926,9.26,2.89765
927,9.27,2.90101
928,9.28,2.90454
929,9.29,2.90822
930,9.3,2.91201
931,9.31,2.9159
932,9.32,2.91987
933,9.33,2.92386
934,9.34,2.92786
935,9.35,2.93182
936,9.36,2.93572
937,9.37,2.93951
938,9.38,2.94315
939,9.39,2.94661
940,9.4,2.94986
941,9.41,2.95286
942,9.42,2.95559
943,9.43,2.95803
944,9.44,2.96015
945,9.45,2.96196
946,9.46,2.96345
947,9.47,2.96464
948,9.48,2.96554
949,9.49,2.96619
950,9.5,2.96662
951,9.51,2.96686
952,9.52,2.96697
953,9.53,2.96701
954,9.54,2.96701
955,9.55,2.96704
956,9.56,2.96715
957,9.57,2.96738
958,9.58,2.96778
959,9.59,2.96839
960,9.6,2.96925
961,9.61,2.97039
962,9.62,2.97182
963,9.63,2.97355
964,9.64,2.9756
965,9.65,2.97797
966,9.66,2.98063
967,9.67,2.98359
968,9.68,2.98681
969,9.69,2.99028
970,9.7,2.99398
971,9.71,2.99786
972,9.72,3.00192
973,9.73,3.00611
974,9.74,3.01043
975,9.75,3.01486
976,9.76,3.01936
977,9.77,3.02392
978,9.78,3.02854
979,9.79,3.03319
980,9.8,3.03785
981,9.81,3.04252
982,9.82,3.04716
983,9.83,3.05178
984,9.84,3.05635
985,9.85,3.06086
986,9.86,3.0653
987,9.87,3.06967
988,9.88,3.07397
989,9.89,3.07818
990,9.9,3.08233
991,9.91,3.08641
992,9.92,3.09042
993,9.93,3.09437
994,9.94,3.09828
995,9.95,3.10213
996,9.96,3.10593
997,9.97,3.10968
998,9.98,3.11337
999,9.99,3.11699
1000,10.0,3.12054
